hotel_id,room_type,date,available,rate_per_night
HTL-001,Standard,2024-07-10,True,140
HTL-001,Standard,2024-07-11,True,140
HTL-001,Standard,2024-07-12,True,140
HTL-001,Standard,2024-07-13,True,140
HTL-001,Standard,2024-07-14,True,140
HTL-002,Standard,2024-07-20,False,130
HTL-002,Standard,2024-07-21,False,130
HTL-002,Standard,2024-07-22,False,130
HTL-002,Standard,2024-07-18,True,130
HTL-002,Standard,2024-07-19,True,130
HTL-002,Standard,2024-07-23,True,130
HTL-002,Standard,2024-07-24,True,130
HTL-002,Deluxe,2024-07-20,True,160
HTL-002,Deluxe,2024-07-21,True,160
HTL-002,Deluxe,2024-07-22,True,160
HTL-001,Standard,2024-08-03,True,140
HTL-001,Standard,2024-08-04,True,140
HTL-001,Standard,2024-08-05,False,140
HTL-001,Standard,2024-08-06,True,140
HTL-001,Standard,2024-08-01,True,140
HTL-001,Standard,2024-08-02,True,140
HTL-001,Standard,2024-08-07,True,140
HTL-001,Standard,2024-08-08,True,140
HTL-001,Deluxe,2024-08-03,True,170
HTL-001,Deluxe,2024-08-04,True,170
HTL-001,Deluxe,2024-08-05,True,170
HTL-001,Deluxe,2024-08-06,True,170
